Educational Background? ,what's your current occupation?,Domain of Expertise,Experience is important for a potential co-founder to have in order to start contributing to the product's development right away. [Please select],An active presence on Github demonstrates that the potential co-founder is actively contributing to projects. [Please select],Using a specific job title as a criteria in the search process can help identify candidates with the specific skills and knowledge required for the role. [Please select],Having experience building projects with a specific programming language is a good indication that the candidate has the necessary skills to develop projects using that language. [Please select],"Multiple projects in a specific field, such as AI, on GitHub demonstrate a level of expertise in that area. [Please select]","Which of the following UI elements did you see when using the site?
",It is clear to me how the information I enter using the sliders or radar chart influences the recommendations for candidates that the App provides [Please select],the App is filled with the amount of information you need to navigate and use the site effectively [Please select],"The user interface and user experience are designed in a way that makes it easy to understand and use, with clear instructions and guidance provided if needed [Please select]",I immediately see why the candidates recommended by the site are suitable for the position I am trying to fill [Please select],The three-color gauge makes it easy for me to quickly identify the strengths of the candidates at a glance. [Please select],The App is effective at helping you find people with the skills you are looking for? [Please select],Additional Feedback
Great thanks for sharing ,PhD,Countrywide telephones ,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Sliders,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,
computer science,Student,,Agree,Agree,Neutral,Agree,Neutral,Radar Chart,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,
computer science,Employed,computer vision,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Radar Chart,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,
electrical engineering,Student,,Neutral,Agree,Neutral,Strongly agree,Agree,Sliders,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,
Computer science,PhD,machine learning,Strongly agree,Disagree,Strongly agree,Agree,Agree,Sliders,,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,
Electrical Engineering,PhD,Computer Vision,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Sliders,Strongly agree,Agree,Agree,Strongly agree,Agree,,
programming,Employed,programming,Agree,Strongly agree,Neutral,Neutral,Disagree,Radar Chart,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,nice app
Data Science,Student,Machine Learning,Strongly agree,Agree,Agree,Agree,Agree,Radar Chart,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Great Idea! Keep the work
computer science,Student,machine learning,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Radar Chart,Agree,Agree,Agree,Agree,Strongly agree,Agree,
Computer Science,PhD,NLP,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Sliders,Strongly agree,Agree,Agree,Agree,Disagree,Agree,exciting stuff
Engineering,Founder / Co-Founder,Deep Learning,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Radar Chart,Neutral,Strongly agree,,Neutral,Agree,Agree,
math,Employed,,Agree,Agree,Neutral,Agree,Disagree,Sliders,Strongly agree,Agree,Agree,Neutral,Strongly agree,Neutral,
Computer Science,PhD,NLP,Strongly agree,Neutral,Agree,Agree,Agree,Sliders,Strongly agree,Agree,Agree,Agree,,Agree,
Data Science,Employed,Machine Learning / Deep Learning,Strongly agree,Agree,Agree,Agree,Agree,Radar Chart,Disagree,Strongly agree,Strongly agree,,Agree,Agree,
computer science,Founder / Co-Founder,,Strongly agree,Agree,Neutral,Neutral,Neutral,Radar Chart,Agree,Agree,Neutral,Agree,Agree,Neutral,
Robotics,PhD,Reinforcement Learning,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Radar Chart,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,
robotics,PhD,reinforcement learning,Agree,Agree,Agree,Neutral,Agree,Sliders,Agree,Agree,Disagree,Agree,Agree,Agree,
Robotics,PhD,Reinforcement Learning,Agree,Neutral,Agree,Agree,Strongly agree,Radar Chart,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,When is the app ready to be used?
Computer Science,Founder / Co-Founder,Deep Learning,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Sliders,Strongly agree,Agree,Agree,Agree,Agree,Agree,
mechanical engineering,Employed,,Strongly agree,Neutral,Neutral,Agree,Disagree,Radar Chart,Neutral,Agree,Neutral,Neutral,Agree,Neutral,
Electrical Engineering and Information Technology,Founder / Co-Founder,Computer Vision and Robotics,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Radar Chart,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,
Computer Science,PhD,Reinforcement Learning,Neutral,Neutral,Strongly agree,Agree,Agree,Sliders,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,
bsc,Student,,Agree,Agree,Neutral,Agree,Neutral,Radar Chart,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,
msc,PhD,,Agree,Neutral,Agree,Agree,Neutral,Radar Chart,Neutral,Strongly agree,Disagree,Agree,Strongly agree,Agree,
Engineering,Founder / Co-Founder,Deep Learning,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Sliders,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,
CS,PhD,NLP,Disagree,Neutral,Neutral,Disagree,,Radar Chart,Neutral,Agree,Neutral,,Strongly agree,Disagree,
robotics,Employed,,Agree,Disagree,Neutral,Disagree,Disagree,Sliders,Agree,Neutral,Neutral,Neutral,Agree,Neutral,could be better
bachelor,Student,,Agree,Neutral,Agree,Agree,Agree,Radar Chart,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,
Mechanical Engineering,PhD,Robotics,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Sliders,Strongly agree,Agree,Agree,,Agree,Strongly agree,
msc,Other,,Agree,Agree,,Agree,Agree,Sliders,Agree,Agree,Agree,Agree,Agree,Agree,agree
Computer Science,Other,Machine Learning,Agree,Strongly agree,Agree,Agree,Agree,Radar Chart,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,When can we use it?
,Other,,Agree,Agree,Neutral,Neutral,Disagree,Radar Chart,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Agree,
Computer Sciecne,PhD,Deep Learning,Agree,Agree,Agree,Neutral,Agree,Sliders,Agree,Agree,Neutral,Agree,Agree,Neutral,
bsc,Employed,,Strongly agree,Agree,Agree,Agree,Agree,Sliders,Agree,Agree,Disagree,Agree,Agree,Agree,
Engineering,Other,Robotics,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Radar Chart,Neutral,Agree,,Agree,Agree,Neutral,
bsc,Student,,Agree,Strongly agree,Agree,Strongly agree,Agree,Radar Chart,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,
Electrical Engineering,Student,,Strongly agree,Strongly agree,,Agree,Agree,Sliders,Agree,Agree,Strongly agree,Agree,Agree,Agree,
computer science,Student,,Agree,Agree,Agree,Neutral,Neutral,Sliders,Agree,Agree,Neutral,Agree,Strongly agree,Agree,
CS,Student,Machine Learning,Agree,Agree,Neutral,Disagree,Disagree,Radar Chart,Disagree,Neutral,,Agree,Neutral,Agree,
Computer Science,Student,AI,Agree,Strongly agree,Agree,Agree,Neutral,Radar Chart,Agree,Agree,Agree,Agree,Agree,Agree,I like your idea!!
Mechatronics,Employed,Cloud Engineer,Agree,Neutral,Strongly agree,Disagree,Neutral,Radar Chart,Neutral,Neutral,Agree,Disagree,Agree,Neutral,
Electrical engineer,Student,,Agree,Strongly agree,Agree,Agree,Strongly agree,Sliders,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,I like the site very much. Keep it up
Consultant,Employed,Engineering,Disagree,Disagree,Neutral,Neutral,Neutral,Radar Chart,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,
Informatics,Employed,Machine Learning ,Agree,Strongly agree,Strongly agree,Agree,Agree,Sliders,Strongly agree,Agree,Agree,Agree,Agree,Agree,
Engineering masters,Employed,Automotive ADAS SW,Agree,Disagree,Neutral,Agree,Neutral,Radar Chart,Agree,Neutral,Agree,Disagree,Agree,Neutral,
